Date,"BURNED CALORIES" (kcal),"CALORIE DEFICIT" (kcal),"DISTANCE (R+W)" (km),"DOUBLE SUPPORT TIME" (%),"FLIGHTS CLIMBED","NET CALORIES" (kcal),"RESTING CALORIES" (kcal),"SLEEP","STEP LENGTH" (in),"STEPS","TOTAL CALORIES" (kcal),"WALKING ASYMMETRY" (%)
"01/01/2024","14.14","2014.14","0.54","32.9","4","1365.06","1350.92","6h 10m","16.14","733","1365.06",
"02/01/2024","54.54","2054.54","1.83","26.1 - 29.5","4","1408.08","1353.54","6h 38m","16.54 - 32.28","2654","1408.08","0.2"
"03/01/2024","44.42","2044.42","1.53","27 - 30.1","5","1397.33","1352.92","5h 19m","22.05 - 26.77","2174","1397.33","0.33"
"04/01/2024","3.5","2003.5","0.21",,"2","1352.93","1349.43","6h 7m",,"290","1352.93",
"05/01/2024","16.27","2016.27","0.71","27 - 29.1","4","1366.83","1350.56","4h 11m","25.59 - 27.17","1007","1366.83",
"06/01/2024","76.57","2076.57","2.39","25.9 - 29.7","4","1432.21","1355.64","7h 14m","24.8 - 28.35","3590","1432.21","0.11"
"07/01/2024","148.88","2148.88","4.92","24.8 - 34.4","7","1513.48","1364.6","15m","20.47 - 31.89","7164","1513.48","1.71"
"08/01/2024","98.23","2098.23","3.27","27.1 - 35","3","1456.69","1358.46","6h 33m","19.29 - 27.17","5549","1456.69","4.67"
"09/01/2024","21.15","2021.15","0.75","26 - 29.1",,"1372.24","1351.09","6h 40m","24.41 - 26.77","1144","1372.24","0.67"
"10/01/2024","251.43","2251.43","7.17","27.3 - 35.1","9","1621.77","1370.34","6h 3m","19.29 - 27.95","10679","1621.77","5.07"
"11/01/2024","205.76","2205.76","6","26.2 - 36.3","17","1573.52","1367.76","6h 42m","15.75 - 28.74","9666","1573.52","1.09"
"12/01/2024","97.7","2097.7","2.87","25.8 - 35.7","4","1454.29","1356.59","6h 51m","17.32 - 28.35","4214","1454.29","0.67"
"13/01/2024","127.88","2127.88","3.64","24.7 - 33.4","4","1485.94","1358.06","6h 30m","19.29 - 28.35","5327","1485.94",
"14/01/2024","3.17","2003.17","0.19",,,"1352.69","1349.53","5h 51m",,"268","1352.69",
"15/01/2024","10.62","2010.62","0.6",,"3","1360.53","1349.91","7h 33m",,"836","1360.53",
"16/01/2024","6.24","2006.24","0.27",,"5","1355.98","1349.74","5h 47m",,"393","1355.98",
"17/01/2024","331.04","2331.04","10.13","25.7 - 35.9","2","1702.19","1371.15","3h 58m","19.29 - 28.35","16150","1702.19","0.85"
"18/01/2024","80.15","2080.15","2.67","24.7 - 31.3","6","1433.6","1353.45","5h 38m","22.44 - 29.13","3817","1433.6","1.1"
"19/01/2024","5.64","2005.64","0.37",,"2","1355","1349.36","7h 19m",,"553","1355",
"20/01/2024","6.7","2006.7","0.37",,"4","1356.13","1349.43","4h 42m",,"552","1356.13",
"21/01/2024","61.3","2061.3","1.35","27 - 32.9","14","1413.84","1352.54","5h 23m","22.05 - 25.2","2317","1413.84","1.33"
"22/01/2024","205.81","2205.81","6.39","25.2 - 35","6","1567.31","1361.5","5h 24m","19.69 - 30.31","8765","1567.31","0.11"
